Object ID,Line Phrase,Word Count,Platonic Object,Word Form,Gender,Process End Year,Platonic Room,Room Phrase,Provenance
27,Item unum par pannorum videlicet tunicam et corsitium feminilem sine froda,11,tunic,tunica,female,1333,,,Lucca
28,Item unum mantellum de sargia feminilem frodatum sindone viride,9,cloak,,female,1333,,,Lucca
31,Unam tunicam biodam maschilem,4,tunic,tunica,male,1333,,,Lucca
32,Item unam tunicam et corsetium coloris sanguinei feminilem cum xvi maspillas argenti,12,tunic,tunica,female,1333,,,Lucca
33,Item unam guarnacciam frodatam de vario et cum fregiis auri fini,11,surcoat,,,1333,,,Lucca
34,item unum mantellum feminilem de sargia frodatum sindone viride,9,cloak,,female,1333,,,Lucca
35,Item unum corsitium feminilem panni misclati frodatum,7,jacket,,female,1333,,,Lucca
36,Item unam gonnellam biodam feminilem,5,gown,,female,1333,,,Lucca
37,Item unum mantellum tondum maschilem frodatum sindone cattabirato,8,cloak,,male,1333,,,Lucca
43,Item tunicam et corsitium feminiles persi coloris frodatos pelle alba,10,tunic,tunica,female,1333,,,Lucca
44,Item unam guarnacciam persam maschilem frodatam pelle alba,8,surcoat,,male,1333,,,Lucca
45,unam tunicam et unam guarnacciam feminiles dimidiatas coloris viridis gialli et sanguinis vergati,13,tunic,tunica,female,1333,,,Lucca
52,et unam tunicam albagiam,4,tunic,,,1333,,,Lucca
55,unam tunicham femineam virgatam,4,tunic,,female,1333,,,Lucca
56,unam tunicam sanguineam brunetam feminilem,5,tunic,,female,1333,,,Lucca
57,et unam guarnaciam dicti coloris [sanguineam brunetam] frodatam sindonis,9,surcoat,,,1333,,,Lucca
58,et unam guarnacciam dicti coloris [sanguineam brunetam] feminilem frodata pelle albe,11,surcoat,,female,1333,,,Lucca
69,1 mantellum persum ad usum domine foderatum sindonis coloris gialli,10,cloak,,female,1333,,,Lucca
70,1 clamidem scacchatum,3,cloak,,,1333,,,Lucca
71,1 tunicam feminilem panni dimidiati,5,tunic,,female,1333,,,Lucca
74,1 guarnaccham panni coloris persi bruni feminilem fodratam fodra francisca alba et profilatam fiandus? ad collum et manichas,18,surcoat,,female,1333,,,Lucca
75,1 mantellum feminilem sargie blodey fodratum sindone vergati,8,cloak,,female,1333,,,Lucca
77,1 clamidem tondum alla tedeschina dimidiatum coloris mischi et vermillii,10,cloak,,,1333,,,Lucca
84,1 tunicam veterem feminilem coloris bruni,6,tunic,,female,1333,,,Lucca
85,1 mantellum,2,cloak,,,1333,,,Lucca
87,1 guarnaccham vermillia coloris mischi fodratam penna alba maschilem,9,surcoat,,male,1333,,,Lucca
88,1 guarnaccham albam sine fodra maschilem,6,surcoat,,male,1333,,,Lucca
89,1 clamidem biscium fratreschum ad dorsum hominis,7,cloak,,male,1333,,,Lucca
92,1 tunicam feminilem di moscata sine manicis,7,tunic,,female,1333,,,Lucca
93,1 tunicham panni persi maschilem,5,tunic,,male,1333,,,Lucca
94,1 tunicam persi bruni feminilem,5,tunic,,female,1333,,,Lucca
96,1 tunicham sarge ad puellam coloris bruni cum virghis syndonis,10,tunic,,female,1333,,,Lucca
97,1 guarnacciam sarge [et] 1 tunicham foderatas utrumque panni lini usque ad cintura?,13,surcoat,,,1333,,,Lucca
98,1 guarnellum cordellatum feminilem cum una manicha?,7,guarnellum,,female,1333,,,Lucca
115,1 tunicam blodam feminilem,4,tunic,,female,1333,,,Lucca
118,1 tunicam maschilem persam,4,tunic,,male,1333,,,Lucca
121,1 tunicam persam femineam extimationis 6 l.,7,tunic,,female,1333,,,Lucca
129,1 guarnacciam frodatam pelle alba maschilem coloris viridis,8,surcoat,,male,1333,,,Lucca
130,1 tunicam maschilem dicti coloris [viridis],6,tunic,,male,1333,,,Lucca
131,1 guarnacciam coloris accolay pendentis in colorem floris persici,9,surcoat,,,1333,,,Lucca
132,1 guarnacciam frodatam vario fregiatam firgiis veterem feminilem [coloris schelattini],10,surcoat,,female,1333,,,Lucca
133,1 tunicam feminilem que sunt coloris schelattini,7,tunic,,female,1333,,,Lucca
134,1 guarnacciam dimidiatam feminilem ab uno latere coloris tanei et ab alia coloris floris persici,15,surcoat,,female,1333,,,Lucca
135,1 guarnacciam mischiam maschilem frodatam pelle alba,7,surcoat,,male,1333,,,Lucca
136,1 corsciptum feminilem sargie biode foderatum sindone et giallo,9,jacket,,female,1333,,,Lucca
137,1 corsciptum feminilem dimidatum cum perso bruno ad papagallos,9,jacket,,female,1333,,,Lucca
140,1 corsceptum coscptu? feminilem catabriatum? cum fodra alba,8,jacket,,female,1333,,,Lucca
141,1 tunicam maschilem celestiam,4,tunic,,male,1333,,,Lucca
142,1 tunicam matarelli fractam,4,tunic,,,1333,,,Lucca
164,1 guarnaccham vocatam? feminilem frodatam pelle vulpi,7,surcoat,,female,1333,,,Lucca
165,1 tunicham dimecat coloris vergati,5,tunic,,,1333,,,Lucca
166,1 [tunicham] sanguineam � 1 corciliatorum? sine manichis,8,tunic,,,1333,,,Lucca
181,1 tunicam blavam feminilem,4,tunic,,female,1333,,,Lucca
184,1 tunicam dimidiatam femineam,4,tunic,,female,1333,,,Lucca
185,1 guarnellum,2,guarnellum,,,1333,,,Lucca
186,2 baracana maschilia,3,barracan,,male,1333,,,Lucca
187,1 guarnellum fractum femineum,4,guarnellum,,female,1333,,,Lucca
188,1 clamidem albagium maschilem,4,cloak,,male,1333,,,Lucca
189,1 baracanum femineum fractum,4,barracan,,female,1333,,,Lucca
191,1 guarnellum lini dimidi,4,guarnellum,,,1333,,,Lucca
192,1 tunicam persam fractam,4,tunic,,,1333,,,Lucca
199,et duo baracana maschilia parvas,5,barracan,,male,1333,,,Lucca
200,et unum mantellum parvum roctum coloris,6,cloak,,,1333,,,Lucca
