lon,lat,ct
10.85291,43.68138,4
10.40081,43.71662,7
10.51456,43.72917,1
10.81056,43.73124,5
10.53305,43.74631,2
10.57354,43.76615,8
10.59586,43.77233,8
10.45825,43.78243,6
10.57494,43.78317,16
10.560176,43.783793,9
10.56069,43.78512,28
10.51424,43.79042,74
10.49873,43.79906,10
10.48324,43.79981,20
10.47327,43.80091,8
10.55258,43.8029,32
10.50804,43.80538,7
10.5051,43.81157,2
10.48725,43.81255,20
10.51109,43.81299,2
10.67786,43.81559,1
10.48117,43.81729,1
10.41646,43.81831,3
10.46818,43.8214,1
10.52226,43.82173,49
10.49441,43.82328,27
10.43949,43.82401,10
10.48187,43.82407,21
10.39682,43.82539,8
10.5128,43.8256,10
10.55673,43.82642,32
10.54449,43.82662,22
10.46992,43.82764,14
10.47251,43.82875,9
10.4344,43.83049,50
10.51739,43.83184,25
10.53929,43.8323,42
10.39402,43.83339,23
10.45899,43.83352,13
10.54814,43.83536,77
10.58996,43.83542,48
10.55849,43.83595,34
10.45618,43.83621,11
10.41893,43.83664,45
10.56652,43.83703,33
10.36389,43.83861,12
10.44634,43.84046,50
10.52716,43.84175,5
10.5559,43.84287,26
10.57226,43.84363,78
10.4909,43.8466,28
10.46506,43.84723,44
10.38581,43.84939,4
10.40511,43.84956,32
10.5456,43.85105,10
10.43828,43.85175,4
10.44927,43.85445,14
10.45596,43.85504,4
10.36488,43.85583,8
10.5512,43.85607,66
10.57015,43.85808,31
10.41365,43.85816,28
10.50676,43.86264,3
10.41397,43.86468,15
10.36222,43.86624,45
10.48016,43.86699,19
10.40283,43.86819,1
10.45474,43.86964,29
10.53919,43.87077,55
10.56422,43.87195,86
10.37984,43.87603,15
10.53679,43.87687,26
10.45059,43.87809,2
10.62645,43.87941,14
10.39781,43.88064,9
10.45812,43.88073,5
10.72978,43.88193,1
10.42697,43.883,9
10.47918,43.88409,4
10.44889,43.88762,28
10.55011,43.88837,15
10.33652,43.88872,62
10.60825,43.88999,51
10.49536,43.89351,39
10.55602,43.89402,43
10.39997,43.89456,18
10.52035,43.89483,3
10.59671,43.89602,116
10.49936,43.89645,2
10.43495,43.89657,26
10.58838,43.89657,20
10.52122,43.89823,5
10.62463,43.8989,17
10.35972,43.89945,6
10.4827,43.89946,6
10.61478,43.90061,41
10.30499,43.90072,3
10.32043,43.90097,7
10.63974,43.90187,7
10.42907,43.90259,22
10.53986,43.90334,11
10.37967,43.90336,12
10.50651,43.90553,10
10.55364,43.90608,27
10.48358,43.90612,14
10.60736,43.90796,27
10.59309,43.90804,12
10.479,43.91005,20
10.30459,43.91151,4
10.43476,43.91154,59
10.38197,43.91197,2
10.46967,43.91334,59
10.56121,43.91349,9
10.59104,43.91351,5
10.39202,43.91354,10
10.57261,43.91426,25
10.536,43.91443,6
10.32677,43.91779,1
10.52704,43.91822,2
10.4235,43.91884,37
10.40393,43.92016,36
10.51469,43.92016,1
10.48083,43.92107,11
10.29772,43.92565,4
10.43919,43.92834,14
10.6462,43.9287,63
10.52325,43.93256,16
10.49494,43.93379,5
10.55738,43.93534,1
10.52776,43.93536,3
10.53856,43.93703,1
10.52877,43.93747,2
10.42863,43.93855,15
10.30557,43.93931,29
10.54458,43.94042,1
10.42524,43.94166,33
10.46174,43.94264,3
10.47627,43.94514,4
10.45198,43.95222,12
10.46515,43.95254,2
10.26229,43.95612,2
10.23313,43.95942,175
10.53403,43.96906,1
10.29714,43.9811,16
10.47536,43.98256,8
10.30635,43.99323,2
10.22812,44.01077,1
10.31117,44.01104,3
10.5918,44.01583,4
10.17151,44.01946,1
10.14628,44.03577,8
10.68183,44.04947,1
10.52666,44.06559,3
10.48694,44.07464,4
10.49295,44.0882,1
