Object ID,Description
27,without lining
28,lined
32,buttons
33,fringed
33,lined
34,lined
35,lined
37,lined
37,striped
37,tondam
43,lined
44,lined
45,parti-colored
45,striped
55,striped
57,lined
58,lined
69,lined
70,checkered
71,parti-colored
74,French
74,lined
74,piping
75,lined
75,striped
77,German
77,parti-colored
77,tondam
87,lined
87,parti-colored
88,without lining
89,biscium fratreschum
92,polka-dotted
92,without sleeves
96,fringed
97,lined
129,lined
131,tassels
132,fringed
132,lined
134,parti-colored
135,lined
136,lined
137,parrots
137,parti-colored
140,lined
140,striped
142,mattarelle
164,lined
165,parti-colored
165,striped
166,without sleeves
184,parti-colored
191,parti-colored
202,checkered
321,buttons
321,piping
322,striped
323,decorative
330,lined
332,lined
333,checkered
333,lined
334,fringed
334,lined
334,parti-colored
334,piping
341,lined
342,lined
348,lined
348,parti-colored
400,lined
401,lined
403,checkered
403,lined
419,fringed
445,dyed
446,dyed
467,lined
467,parti-colored
483,checkered
483,lined
484,lined
501,lined
502,lined
520,parti-colored
521,lined
522,buttons
523,etched
523,fringed
523,lined
523,parti-colored
524,parti-colored
524,piping
525,fringed
525,lined
525,parti-colored
529,parti-colored
534,without lining
535,without lining
543,piping
543,without lining
544,lined
546,fringed
546,parti-colored
546,piping
546,without lining
582,split front
582,tondam
598,checkered
599,cinches
633,without lining
634,lined
635,lined
667,dyed
680,lined
693,checkered
693,lined
694,checkered
702,dyed
736,parti-colored
885,lined
936,lined
952,lined
952,striped
958,buttons
961,lined
1011,checkered
1013,dyed
1014,without lining
1015,lined
1017,parti-colored
1021,lined
1027,buttons
1027,lined
1028,checkered
1028,fringed
1028,lined
1028,tondam
1032,fodrum
1032,lined
1046,lined
1057,lined
1058,striped
1059,German
1060,checkered
1061,barracan
1061,hood
1061,lined
1063,lined
1107,lined
1107,parti-colored
1132,lined
1161,parrots
1171,lined
1179,lined
1183,without lining
1185,fringed
1187,parti-colored
1194,duplex
1194,tondam
1213,lined
1213,without sleeves
1214,parti-colored
1234,parti-colored
1235,without sleeves
1236,checkered
1236,lined
1325,lined
1386,anguellinum
1389,buttons
1393,lined
1394,lined
1394,parti-colored
1397,lined
1398,lined
1410,lined
1454,lined
1476,without sleeves
1506,lined
1508,striped
1530,French
1530,lined
1582,fringed
1583,hairy
1635,lined
1696,parti-colored
1718,striped
1719,lined
1719,striped
1752,fringed
1781,without sleeves
1799,basted together
1806,dyed
1815,fringed
1816,hairy
1822,parti-colored
1922,lined
2017,lined
2017,parti-colored
2019,striped
2041,fringed
2195,lined
2211,lined
2215,without sleeves
2222,without lining
2267,hairy
2282,lined
2283,lined
2283,striped
2284,without lining
2327,without lining
2359,without lining
2407,lined
2408,striped
2514,checkered
2568,striped
2569,lined
2585,without lining
2595,without lining
2596,lined
2620,parti-colored
2625,without lining
2626,without lining
2638,hood
2643,without skin
2697,parti-colored
2697,without lining
2778,without lining
2779,without lining
2780,lined
2829,lined
2831,parti-colored
2899,tassels
2936,lined
2987,fringed
2987,lined
2988,buttons
2988,fringed
2995,lined
3023,lined
3025,lined
3026,lined
3026,parti-colored
3027,parti-colored
3028,without lining
3041,fringed
3042,German
3061,lined
3062,lined
