token,token_order,line_id,word_form,lemma
"item","1","0001187F-E894-4A3D-BA29-6C194EA50032","item","item"
"quinque","2","0001187F-E894-4A3D-BA29-6C194EA50032","quinque","quinque"
"casei","3","0001187F-E894-4A3D-BA29-6C194EA50032","casei","caseus"
"sardinuensis","4","0001187F-E894-4A3D-BA29-6C194EA50032","sardinuensis","sardinuens"
"item","1","00031C6B-1864-4B87-A9CA-8333C9A25618","item","item"
"i","2","00031C6B-1864-4B87-A9CA-8333C9A25618","i","unus"
"paneria","3","00031C6B-1864-4B87-A9CA-8333C9A25618","paneria","paneria"
"item","1","0003CDBA-9637-4010-95E2-9DBF4A526E52","item","item"
"duo","2","0003CDBA-9637-4010-95E2-9DBF4A526E52","duo","duo"
"parva","3","0003CDBA-9637-4010-95E2-9DBF4A526E52","parva","parvus"
"matalacia","4","0003CDBA-9637-4010-95E2-9DBF4A526E52","matalacia","matalacium"
"cum","5","0003CDBA-9637-4010-95E2-9DBF4A526E52","cum","cum"
"uno","6","0003CDBA-9637-4010-95E2-9DBF4A526E52","uno","unus"
"traverserio","7","0003CDBA-9637-4010-95E2-9DBF4A526E52","traverserio","traverserium"
"item","1","0046C724-B806-47C4-96D0-7784B38411DE","item","item"
"i","2","0046C724-B806-47C4-96D0-7784B38411DE","i","unus"
"aissada","3","0046C724-B806-47C4-96D0-7784B38411DE","aissada","aysada"
"item","1","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","item","item"
"cotardia","2","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","cotardia","cotardia"
"mantulum","3","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","mantulum","mantellum"
"et","4","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","et","et"
"capucium","5","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","capucium","capucium"
"de","6","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","de","de"
"mesclato","7","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","mesclato","mesclatus"
"cum","8","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","cum","cum"
"penna","9","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","penna","penna"
"in","10","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","in","in"
"cotardia","11","004FCC74-3FC9-443E-8D07-D159F1AFDB4B","cotardia","cotardia"
"item","1","005114A2-96CD-4CB4-B9D9-9E56C66D9309","item","item"
"unam","2","005114A2-96CD-4CB4-B9D9-9E56C66D9309","unam","unus"
"mastram","3","005114A2-96CD-4CB4-B9D9-9E56C66D9309","mastram","mastra"
"et","4","005114A2-96CD-4CB4-B9D9-9E56C66D9309","et","et"
"unum","5","005114A2-96CD-4CB4-B9D9-9E56C66D9309","unum","unus"
"tamis","6","005114A2-96CD-4CB4-B9D9-9E56C66D9309","tamis","tamiseus"
"item","1","005264DE-A08F-4D44-A6B2-B908508E19DE","item","item"
"unam","2","005264DE-A08F-4D44-A6B2-B908508E19DE","unam","unus"
"chopam","3","005264DE-A08F-4D44-A6B2-B908508E19DE","chopam","chopa"
"domine","4","005264DE-A08F-4D44-A6B2-B908508E19DE","domine","domina"
"panni","5","005264DE-A08F-4D44-A6B2-B908508E19DE","panni","pannus"
"mesclati","6","005264DE-A08F-4D44-A6B2-B908508E19DE","mesclati","mesclatus"
"uno","1","00577C50-34B3-4496-9586-C805816FC850","uno","unus"
"pulvinari","2","00577C50-34B3-4496-9586-C805816FC850","pulvinari","pulvinar"
"et","3","00577C50-34B3-4496-9586-C805816FC850","et","et"
"duo","4","00577C50-34B3-4496-9586-C805816FC850","duo","duo"
"copertoria","5","00577C50-34B3-4496-9586-C805816FC850","copertoria","copertorium"
"de","6","00577C50-34B3-4496-9586-C805816FC850","de","de"
"bort","7","00577C50-34B3-4496-9586-C805816FC850","bort","bort"
"cum","8","00577C50-34B3-4496-9586-C805816FC850","cum","cum"
"quatuor","9","00577C50-34B3-4496-9586-C805816FC850","quatuor","quattuor"
"peciis","10","00577C50-34B3-4496-9586-C805816FC850","peciis","pecia"
"cortinarum","11","00577C50-34B3-4496-9586-C805816FC850","cortinarum","cortina"
"viridarum","12","00577C50-34B3-4496-9586-C805816FC850","viridarum","viridis"
"item","1","006FA016-5CBE-479E-8B50-EA4CCF0B2AF8","item","item"
"tres","2","006FA016-5CBE-479E-8B50-EA4CCF0B2AF8","tres","tres"
"furcas","3","006FA016-5CBE-479E-8B50-EA4CCF0B2AF8","furcas","furca"
"–ventesandi–","4","006FA016-5CBE-479E-8B50-EA4CCF0B2AF8",,
"ventandi","5","006FA016-5CBE-479E-8B50-EA4CCF0B2AF8","ventandi","ventare"
"item","1","00920480-023A-4CA7-B9A5-7123529FB876","item","item"
"quinque","2","00920480-023A-4CA7-B9A5-7123529FB876","quinque","quinque"
"laneas","3","00920480-023A-4CA7-B9A5-7123529FB876","laneas","lanea"
"___","4","00920480-023A-4CA7-B9A5-7123529FB876",,
"florenorum","5","00920480-023A-4CA7-B9A5-7123529FB876","florenorum","florenus"
