Line_id,Line
"0D65145B-F95C-4893-98AB-A6BE5A0E21D0","et primo fuerunt inventa in coquina domus dicti guillelmi hec bona"
"8F70004A-C891-4513-930A-E0A64E162D8B","una scala"
"4F213ACF-1393-4F38-925D-1DEFE68F1161","item unum scudellerium"
"DC60CD0C-E82F-4792-AAE5-CE0552C0012B","item una sartago"
"1BE94625-6635-4E43-B629-95464D0AA60F","item unum verutum"
"48ED2341-57FD-405A-8F60-0D680CE7CC8F","item duos banchos"
"9CEA8040-7762-407A-84E1-AE98CE387B79","item unum morterium lapideum"
"AADC8D25-B283-429F-9ED8-454946542544","item duos trissonos"
"363AA14C-2692-4257-A16A-B873388DC508","item una gaveda"
"D803C24C-B744-4822-8126-21A988B58182","item duo tripedes"
"1F6078DB-4C4B-49F8-BA53-7A67F51F5239","item i^a^ sella"
"8FA08892-F4C3-4E85-B50A-5A53A8546660","item x duodenas ?amannarum?"
"2DD4D4D6-9586-4DE0-A843-5B24335E4550","item due barile"
"98BCA4C2-612E-4386-8698-4898EBF4D11E","item i tamis"
"DCA65792-668E-4F71-9833-1B5FFBEE74D5","item i^a^ flaciata"
"381586EC-0ABE-4D3C-9F3D-6379E57616E5","in camera aule sequntur bona"
"6A4462AC-9133-4F71-A1DF-01025E3EF009","primo unum lectum tabularum"
"115C117F-67E3-4C22-A514-B05C57E5250D","item basachia"
"552A121F-563E-470F-BA85-D3DAAE661381","item matalassium"
"77D16F4A-6D10-425F-B980-3D8AC055314D","item i pulvinar"
"5DE50989-76B8-47C2-9073-94D75DC6A7FF","item flaciata i^a^"
"6AE62155-1FE3-4CDF-B936-B500B3A14C85","item i^a^ archa"
"0BD90BF6-766F-45EB-95BB-6D1C0B27708C","item ii banchi"
"03097259-2C2F-4F74-B198-7F2B71129C8F","item i^a^ pertica"
"232245A8-3C36-4E7E-B91F-A7A3D2F610DF","item i^a^ curassia cum gorgeria de plata"
"56E40153-6683-497E-B135-3DC42CB031A4","in aula sequntur hec bona"
"F22E853C-3A1E-489E-B03C-948DE3C0941A","primo i^a^ archa"
"564858EE-602F-47BB-BEFD-6388E2A08F2B","item i^a^ capcia"
"F3235AD6-CE8B-47AA-B28D-3A7BEE555ADF","item i arquibancum"
"3C53D81B-0DE4-4636-BBF9-135A3E52DA9E","item i^a^ alia capcia"
"70F51AAB-AD17-4D9C-AAF0-FC6B76DF938C","item i^a^ pauca capcia"
"C06A62BF-5B6C-4419-83F0-53A00163F2A7","item i^a^ alia capcia"
"4120E80A-29DD-4BA4-A950-C0A6F0F11E01","item i banchum"
"39355F8F-E2F9-480B-8585-28492DA9E1E2","item una mastra"
"1377FDCF-6275-4B2C-9F8B-56FB2787DCCD","item i^a^ tabula comedendi cum tabulonis"
"1B29D1A1-BB22-48C2-B029-FC5A8E3A3A03","item i brochum sive ?canteram?"
