superlemma_id,word_form,PoS,short_gloss
8ECFB1F1-53D7-46F7-BAA9-AF880B67A860,sartago,noun,pan
,sertagines,noun,pan
,sartagines,noun,pan
,sartaginem,noun,pan
,sartagine,noun,pan
91E7DB49-DA86-4D42-8F28-48034E226AA5,scala,noun,ladder
,scalam,noun,ladder
,scalas,noun,ladder
,scallam,noun,ladder
328361A5-43AD-4E31-9D8B-46F81EC304D0,verutum,noun,spit
,verum,noun,spit
,veru,noun,spit
0F890FD3-3AAD-4E92-B322-A688207DF795,gaveda,noun,basin
,gavedam,noun,basin
88D6B440-B26E-4405-AA30-74C025DEB34F,item,adjective,next
64ACCF5D-46DB-444B-A2A8-CB10EE7A3CB6,et,coordinating conjunction,and
F1950E02-6063-48A7-89B1-005CE403FB2F,primo,adverb,first
2FD249CF-1EC7-47D9-944B-B84AD8DDA9F8,in,adposition,in
34D0BCA4-3083-47A0-B15B-BD0A20DA0499,coquina,noun,kitchen
,coquinam,noun,kitchen
,quoquina,noun,kitchen
,culina,noun,kitchen
CF811983-B462-4D16-A374-B04116C9E931,domus,noun,house
,domo,noun,house
,domum,noun,house
,domos,noun,house
,domibus,noun,house
5EE1FC0E-9F5A-4F08-AA6F-46BA8646E816,dicti,adjective,the said
,dicte,adjective,the said
,dicta,adjective,the said
,dictorum,adjective,the said
,dictus,adjective,the said
,dicto,adjective,the said
,dictum,adjective,the said
,dictis,adjective,the said
,dictam,adjective,the said
,dictas,adjective,the said
,dictos,adjective,the said
A23C5A47-909D-48A4-9333-C11D16DBBE91,guillelmi,proper noun,Guillelmus
,guillelmus,proper noun,Guillelmus
,guillelmum,proper noun,Guillelmus
2D4C7C5F-7AD5-4275-9F33-5A33DE59F3FC,hec,pronoun,this
,hoc,pronoun,this
,haec,pronoun,this
,hac,pronoun,this
,hic,pronoun,this
1E6CA1E0-FBF5-4826-9D41-F03DF283AE61,una,numeral,one
,unum,numeral,one
,ia,numeral,one
,1,numeral,one
,unam,numeral,one
,unius,numeral,one
,uno,numeral,one
,unus,numeral,one
,unas,numeral,one
,unums,numeral,one
,ias,numeral,one
,duna,numeral,one
,i,numeral,one
C38483E7-A645-4B7F-A4ED-D65B71272AB8,scudellium,noun,cupboard
,scudellerium,noun,cupboard
06C9920E-B5A4-48BC-80FF-1161E57E2EB5,duos,numeral,two
,duo,numeral,two
,due,numeral,two
,2,numeral,two
,duorum,numeral,two
,duas,numeral,two
,duobus,numeral,two
,duabus,numeral,two
,duarum,numeral,two
,dua,numeral,two
,ii,numeral,two
35CE4521-DA92-498A-9740-D459DB45D7BF,bona,noun,goods
,bonis,noun,goods
,bonorum,noun,goods
69B3944C-EB3E-4F35-A0F7-BD3109C1892B,banchos,noun,bench
,banchi,noun,bench
,banchum,noun,bench
,bancha,noun,bench
,banqui,noun,bench
,bancos,noun,bench
,bancum,noun,bench
,bancqui,noun,bench
,banca,noun,bench
,banco,noun,bench
,banchis,noun,bench
,banqual,noun,bench
,banquis,noun,bench
,banquos,noun,bench
,bancas,noun,bench
,banqum,noun,bench
,banquo,noun,bench
,bancus,noun,bench
0FE3755A-FC47-4C88-98B8-2AE82FAD1690,morterium,noun,mortar
,morteria,noun,mortar
,morteriis,noun,mortar
,morterio,noun,mortar
,morterios,noun,mortar
,porterium,noun,mortar
,morterias,noun,mortar
,molterium,noun,mortar
,mortarium,noun,mortar
DF72DD6A-80AA-4823-9052-673769007833,lapideum,adjective,of stone
,lapideis,adjective,of stone
,lapidea,adjective,of stone
,lapidei,adjective,of stone
,lapideas,adjective,of stone
,lapideo,adjective,of stone
,lapideam,adjective,of stone
,lapideus,adjective,of stone
36269FC0-907B-4B41-BD7D-22207C97D35E,trissonos,noun,pestle
,trissono,noun,pestle
,trisonos,noun,pestle
,trissonum,noun,pestle
,trissonus,noun,pestle
,trissonis,noun,pestle
,trissoni,noun,pestle
,trissos,noun,pestle
,trisono,noun,pestle
9C462859-9D11-480A-8B79-3C81ADAB5EC2,tripedes,noun,tripod
,tripedem,noun,tripod
,tripes,noun,tripod
F1654E9C-CBEE-40BF-9044-A3D560E1129E,sella,noun,seat
,sellam,noun,seat
,cellas,noun,seat
,cella,noun,seat
,celle,noun,seat
,sellas,noun,seat
,cellam,noun,seat
,cellis,noun,seat
,celam,noun,seat
,celas,noun,seat
,sellis,noun,seat
528CF4FF-4CF7-4B89-A925-82923F9F4F94,sellam,noun,saddle
,cellas,noun,saddle
,cella,noun,saddle
,celle,noun,saddle
,selle,noun,saddle
9A90F47D-448D-407F-981B-5170D76D5888,10,numeral,ten
,decem,numeral,ten
,x,numeral,ten
F239C7C8-D910-453D-84E3-CB18E4C2AE9D,duodenas,numeral,dozen
,duodena,numeral,dozen
71D2F2C4-7C42-4739-BBAE-838F734F7703,barile,noun,barrel
,barrilha,noun,barrel
5FCF22A0-4347-487D-9780-38CE5B44B613,camera,noun,room
,camere,noun,room
,cameris,noun,room
,cameram,noun,room
C1746F59-65CF-4537-84A8-3E0F178DA8A4,abas,adposition,below
F31FB2CF-67A7-4CAA-8C9C-79B2BF3FA1E6,abelha,noun,bee
