location,latitude,longitude
"Badia delle Valle","44.07566","11.69021"
"Badia Cantignano","43.803411","10.505083"
"Agazzi","43.44761","11.83588"
"Albiano","43.46196","12.0093"
"Albiano di Barga","44.08789","10.47356"
"Albiano di Camaiore","43.916566","10.399168"
"Albiano di Minucciano","44.19222","10.224"
"Albiano di Prato","43.95289","11.08509"
"Albiano","44.17899","9.91653"
"S. Alessio","43.863443","10.480388"
"Fiano","43.59018","11.1187"
"Altagnana","44.05656","10.17536"
"Altopascio","43.813749","10.681544"
"Anchiano","43.96906","10.53403"
"S. Angelo a Brancoli","43.92741","10.53805"
"S. Angelo in Campo","43.845062","10.461504"
"Anghio","43.70366","10.53703"
"S. Anna delle Piagge","43.843048","10.484771"
"SS. Annunziata","43.86124","10.53345"
"Antraccoli","43.843794","10.556921"
"Aquila di Gragnola; Castello dell'Aquila","44.19296","10.11524"
"Aquila di Tredozio","44.07405","11.74391"
"Aquilata","43.84292","10.36787"
"Aquilea","43.919094","10.515547"
"Aquitrina","43.61157","12.12956"
"Arancio","43.8457","10.52405"
"Arlia; Arglia","44.26713","10.13717"
"Arliano","43.847555","10.406126"
"Arliano","43.91111","11.42897"
"Arsenale","44.07958","10.45104"
"Arsina","43.891235","10.494243"
"S. Pietro a Vico","43.874631","10.537587"
"Bacchereto","43.81236","10.98549"
"Quiesa","43.855458","10.361607"
"Bagno Vignoni","43.03399","11.61568"
"Balbano","43.832501","10.395874"
"Barbiano","43.73772","11.66792"
"Barga","44.07309","10.487126"
"Bargecchia di Garfagnana","44.12472","10.44255"
"Bargecchia di Versilia","43.90666","10.31279"
"Bargi","43.9125","10.88917"
"Bargino; Torrente Pesa","43.61791","11.19179"
"Villa Basilica","43.927304","10.639901"
"Batone","43.93334","10.42387"
"Bellavista di Borgo Buggiano","43.869862","10.728663"
"Bibbiano del Mugello","44.03971","11.24869"
"Bibbiano; Balbiano; Bibiano di S. Maria a Monte","43.69411","10.70067"
"S. Alessio","43.95593","10.93343"
"Borgo a Buggiano","43.880216","10.731841"
"Borgo a Mozzano","43.98129","10.54782"
"Borgonovo","43.86435","10.6111"
"Bozzano","43.865157","10.360812"
"Piazza di Brancoli","43.942578","10.534017"
"Colle di Buggiano","43.895584","10.736069"
"Ponte Buggianese","43.84272","10.74951"
"Buggiano Castello","43.888788","10.733701"
"Bugialla","43.51073","11.40539"
"Bugliano","43.8581","11.26425"
"Bugnano","44.03408","10.58254"
"Calceno","43.27287","11.52524"
"Pieve di Calci","43.73305","10.51849"
"S. Andrea alla Lama di Calci","43.74629","10.52233"
"Castelmaggiore di Calci","43.74116","10.52579"
"Il Colle","43.73601","10.51759"
"Tre Colli","43.744456","10.532197"
"S. Zanobi a Casignano","43.70458","11.22302"
"Calcinaia; Fosso del Cilecchio","43.68564","10.61528"
"Calcinaja","43.45941","11.15748"
"Calcinaja","43.85973","11.53181"
"Camaiore","43.942098","10.306475"
"Camigliano","43.00918","11.39888"
"Camigliano","43.889334","10.606004"
"S. Fabiano alle Camperie","43.47528","11.90376"
"Compignano","43.845369","10.386532"
"Camporgiano","44.15985","10.33634"
"Capannelle","42.99833","11.31191"
"Capannole","43.44351","11.62489"
"Capannoli","43.58431","10.68086"
"Capannone","43.81859","10.76862"
"Capannori","43.840789","10.565554"
"S. Andrea in Caprile","43.899659","10.609768"
"Carignano","43.865968","10.452301"
"Busdagno","43.876587","10.447594"
"Carpineta","43.872","10.99466"
"Carraia; Torrente Marina","43.89634","11.18138"
"Carraia","44.00347","10.87686"
"Carraja","43.78761","10.42461"
"Carraia","43.825371","10.556411"
"Carignano","44.14936","9.98682"
"Cascia; Aquilia","43.67735","11.53131"
"Casciana","43.92039","10.41055"
"S. Margherita","43.69675","11.3159"
"Casette","43.88028","10.95211"
"Casesi","43.91489","10.30491"
"Casoli di Camaiore","43.96328","10.32818"
"S. Frediano di Cassano","43.84921","10.38513"
"S. Cassiano di Guamo","43.810463","10.50899"
"Catagnana","44.086459","10.493026"
"Castagnolo di Nozzano","43.84526","10.40118"
"Castagnolo","43.67162","10.3569"
"Castagnori","43.899503","10.429777"
"Castagnola","44.17541","10.25798"
"S. Maria in Castello; Castel di Collina; Castel di Tredozio","44.07088","11.78227"
"Valdicastello; Valbona","43.95953","10.26938"
