town,lon,lat,ct,,
S. Miniato,10.85291,43.68138,4,,
Pisa,10.40081,43.71662,7,,
Pieve di Calci,10.51456,43.72917,1,,
Fucecchio,10.81056,43.73124,5,,
Tre Colli,10.53305,43.74631,2,,
Ruota,10.57354,43.76615,8,,
Colle di Compito,10.59586,43.77233,8,,
S. Maria del Giudice,10.45825,43.78243,6,,
Pieve di Compito,10.57494,43.78317,16,,
S. Colombano di Compito,10.560176,43.783793,9,,
S. Andrea di Compito,10.56069,43.78512,28,,
Vorno,10.51424,43.79042,74,,
Coselli,10.49873,43.79906,10,,
S. Lorenzo a Vaccoli,10.48324,43.79981,20,,
Vaccoli,10.47327,43.80091,8,,
Massa Macinaia,10.55258,43.8029,32,,
Badia Cantignano,10.50804,43.80538,7,,
S. Pietro di Guamo,10.5051,43.81157,2,,
Massa Pisana,10.48725,43.81255,20,,
S. Cassiano di Guamo,10.51109,43.81299,2,,
Altopascio,10.67786,43.81559,1,,
S. Michele in Escheto,10.48117,43.81729,1,,
Ripafratta,10.41646,43.81831,3,,
Pozzuolo,10.46818,43.8214,1,,
Verciano,10.52226,43.82173,49,,
Pontetetto,10.49441,43.82328,27,,
Castello Passerino,10.43949,43.82401,10,,
Vico Pelago,10.48187,43.82407,21,,
Castiglioncello,10.39682,43.82539,8,,
Sorbano del Giudice,10.5128,43.8256,10,,
Carraia,10.55673,43.82642,32,,
Parezzana,10.54449,43.82662,22,,
Gattaiola,10.46992,43.82764,14,,
Salissina,10.47251,43.82875,9,,
Cerasomma,10.4344,43.83049,50,,
Sorbano del Vescovo,10.51739,43.83184,25,,
Toringo,10.53929,43.8323,42,,
Balbano,10.39402,43.83339,23,,
Meati,10.45899,43.83352,13,,
Pieve S. Paolo,10.54814,43.83536,77,,
Paganico,10.58996,43.83542,48,,
S. Margherita,10.55849,43.83595,34,,
Fagnano,10.45618,43.83621,11,,
Nozzano,10.41893,43.83664,45,,
Tassignano,10.56652,43.83703,33,,
Massaciuccoli,10.36389,43.83861,12,,
Montuolo,10.44634,43.84046,50,,
S. Filippo,10.52716,43.84175,5,,
Antraccoli,10.5559,43.84287,26,,
Capannori,10.57226,43.84363,78,,
S. Anna delle Piagge,10.4909,43.8466,28,,
S. Angelo in Campo,10.46506,43.84723,44,,
Compignano,10.38581,43.84939,4,,
Arliano,10.40511,43.84956,32,,
Tempagnano,10.5456,43.85105,10,,
S. Maria a Colle,10.43828,43.85175,4,,
Ponte S. Pietro,10.44927,43.85445,14,,
Nave,10.45596,43.85504,4,,
Quiesa,10.36488,43.85583,8,,
Picciorna,10.5512,43.85607,66,,
Lunata,10.57015,43.85808,31,,
Maggiano,10.41365,43.85816,28,,
Monte S. Quirico,10.50676,43.86264,3,,
